lease_bs_brand_jqxx.brandid,lease_bs_brand_jqxx.brandname,lease_bs_brand_jqxx.brandnameen,lease_bs_brand_jqxx.brandnamech,lease_bs_brand_jqxx.recordstatus,lease_bs_brand_jqxx.formatname,lease_bs_brand_jqxx.mainformatname,lease_bs_brand_jqxx.detailformatname
1014060,FRANC FRANC,FRANC FRANC,FRANC FRANC,ACTIVE,生活精品,家居家用,家居家饰
1014062,英皇珠宝,EMPEROR,英皇珠宝,ACTIVE,生活精品,黄金珠宝,黄金
1014064,DAVIDOFF,DAVIDOFF,DAVIDOFF,ACTIVE,生活精品,烟酒食品,烟酒茶
1014065,COLOR FOR ME,COLOR FOR ME,COLOR FOR ME,ACTIVE,生活精品,数码电子,数码单品
1014068,blackcoco,Blackcoco,blackcoco,ACTIVE,生活精品,烟酒食品,零食
1014067,BOBBI BROWN,BOBBI BROWN,BOBBI BROWN,ACTIVE,生活精品,个人护理,化妆品
1014070,猫屎咖啡,Kopi Luwak,猫屎咖啡,ACTIVE,餐饮美食,饮品烘焙,咖啡店
1014252,Ou.,Ou.,Ou.,ACTIVE,服装服饰,女装,少淑女
1014255,EBT,EBT,EBT,ACTIVE,生活精品,数码电子,数码集合
1014256,OFFICE,OFFICE,OFFICE,ACTIVE,生活精品,个人护理,化妆品
1014257,圣妮,Shiny Crystal,圣妮,ACTIVE,生活精品,杂品配饰,配饰
1013947,杰西莱,jessyline,杰西莱,ACTIVE,服装服饰,女装,少淑女
1013985,八面玲珑,无,八面玲珑,ACTIVE,餐饮美食,异国餐饮,泰餐
1014147,热风,Hotwind,热风,ACTIVE,生活精品,鞋品箱包,鞋品
1014148,亚洲蕉叶,无,亚洲蕉叶,ACTIVE,餐饮美食,异国餐饮,泰餐
1014149,汉拿山,无,汉拿山,ACTIVE,餐饮美食,异国餐饮,韩式烤肉
1014152,LILY,LILY,LILY,ACTIVE,服装服饰,女装,少淑女
1014154,渔 ,fishing,渔,ACTIVE,服装服饰,女装,淑女
1014155,ochirly,ochirly,ochirly,ACTIVE,服装服饰,女装,少淑女
1014158,优之良品,Aji ichiban,优之良品,ACTIVE,生活精品,烟酒食品,零食
1013116,香稻故事,无,香稻故事,ACTIVE,餐饮美食,中餐,时尚融合菜
1013117,现代粗粮,无,现代粗粮,ACTIVE,餐饮美食,中餐,东北菜
1013118,耶丽夏里,无,耶丽夏里,ACTIVE,大型餐饮,大酒楼,大酒楼
1013119,汉口人家,无,汉口人家,ACTIVE,餐饮美食,中餐,时尚融合菜
1013121,玛满矿,无,玛满矿,ACTIVE,餐饮美食,异国餐饮,泰餐
1013122,泰香米,无,泰香米,ACTIVE,餐饮美食,异国餐饮,泰餐
1013123,江户川,无,江户川,ACTIVE,餐饮美食,异国餐饮,日式料理
1013125,仓桥家,无,仓桥家,ACTIVE,餐饮美食,异国餐饮,日式料理
1013126,元气寿司,无,元气寿司,ACTIVE,餐饮美食,异国餐饮,日式料理
1013127,新罗宝,无,新罗宝,ACTIVE,餐饮美食,异国餐饮,韩式简餐
1013129,番屋,无,番屋,ACTIVE,餐饮美食,异国餐饮,日式料理
1013130,香芒山,无,香芒山,ACTIVE,餐饮美食,饮品烘焙,甜品
1013131,蜜,无,蜜,ACTIVE,餐饮美食,饮品烘焙,果汁
1013132,莫凡彼,无,莫凡彼,ACTIVE,餐饮美食,饮品烘焙,冰淇淋
1013193,I.T.,I.T.,I.T.,ACTIVE,大型零售,主题集合店,服饰
1013201,香啡缤,Coffee Bean,香啡缤,ACTIVE,餐饮美食,饮品烘焙,咖啡店
1013202,佳丽大酒楼,无,佳丽大酒楼,ACTIVE,大型餐饮,大酒楼,大酒楼
1013424,湘村人家,无,湘村人家,ACTIVE,餐饮美食,中餐,湘菜
1013425,三生三味,无,三生三味,ACTIVE,餐饮美食,中餐,川菜
1013426,鼎湘园,无,鼎湘园,ACTIVE,餐饮美食,中餐,湘菜
1013427,潇湘粤语,无,潇湘粤语,ACTIVE,餐饮美食,中餐,湘菜
1013428,巴渝知味,无,巴渝知味,ACTIVE,餐饮美食,中餐,川菜
1013429,洞庭,无,洞庭,ACTIVE,餐饮美食,中餐,湘菜
1013430,蝶俏,无,蝶俏,ACTIVE,餐饮美食,中餐,川菜
1013431,赣湘楼,无,赣湘楼,ACTIVE,餐饮美食,中餐,湘菜
1013432,胜利公社,无,胜利公社,ACTIVE,餐饮美食,中餐,湘菜
1013433,湘色满园,无,湘色满园,ACTIVE,餐饮美食,中餐,湘菜
1013434,大牌档,无,大牌档,ACTIVE,餐饮美食,中餐,时尚融合菜
1013435,厨房印象,无,厨房印象,ACTIVE,餐饮美食,中餐,时尚融合菜
1013436,自然古镇,无,自然古镇,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1013437,艾伦多,无,艾伦多,ACTIVE,餐饮美食,自助餐,西式自助
1013438,鑫缘,无,鑫缘,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1013439,巴味堂,无,巴味堂,ACTIVE,餐饮美食,中餐,川菜
1013440,外婆桥,无,外婆桥,ACTIVE,餐饮美食,锅类,川渝火锅
1013441,陶然古镇,无,陶然古镇,ACTIVE,餐饮美食,中餐,川菜
1013442,知青食代,无,知青食代,ACTIVE,餐饮美食,中餐,东北菜
1013443,啸傲江湖,无,啸傲江湖,ACTIVE,餐饮美食,中餐,时尚融合菜
1013444,起点,无,起点,ACTIVE,餐饮美食,中餐,时尚融合菜
1013445,食为记,无,食为记,ACTIVE,餐饮美食,中餐,时尚融合菜
1013446,食鼎汇,无,食鼎汇,ACTIVE,餐饮美食,中餐,杭帮菜
1013447,心灵鸡汤,无,心灵鸡汤,ACTIVE,餐饮美食,中餐,时尚融合菜
1013448,品味天下,无,品味天下,ACTIVE,餐饮美食,自助餐,烤涮自助
1013449,翅味鲜,无,翅味鲜,ACTIVE,餐饮美食,中餐,川菜
1013450,贵仁府,无,贵仁府,ACTIVE,餐饮美食,中餐,时尚融合菜
1013451,枣子树,无,枣子树,ACTIVE,餐饮美食,中餐,素食餐厅
1013452,钦善斋,无,钦善斋,ACTIVE,餐饮美食,中餐,素食餐厅
1013453,菩提素,无,菩提素,ACTIVE,餐饮美食,中餐,素食餐厅
1013454,阿瓦山寨,无,阿瓦山寨,ACTIVE,餐饮美食,中餐,湘菜
1013455,京焰,无,京焰,ACTIVE,餐饮美食,中餐,云贵菜
1013305,sefon,sefon,sefon,ACTIVE,服装服饰,女装,少淑女
1013306,NOWHere,NOWHere,NOWHere,ACTIVE,服装服饰,女装,少淑女
1013307,passion,passion,passion,ACTIVE,服装服饰,女装,淑女
1013309,黄鹤楼,无,黄鹤楼,ACTIVE,餐饮美食,中餐,湘菜
1013310,雨花,无,雨花,ACTIVE,餐饮美食,异国餐饮,西式简餐
1013311,米兰,无,米兰,ACTIVE,餐饮美食,饮品烘焙,果汁
1013312,站亭,Donut stop,站亭,ACTIVE,餐饮美食,饮品烘焙,甜品
1013456,钱塘味府,无,钱塘味府,ACTIVE,餐饮美食,中餐,杭帮菜
1013457,四季明湖,无,四季明湖,ACTIVE,餐饮美食,中餐,粤菜（海南菜）
1013459,面点王,无,面点王,ACTIVE,餐饮美食,简餐,中式面
1013460,关东大院,无,关东大院,ACTIVE,餐饮美食,中餐,东北菜
1013461,满庭芳,无,满庭芳,ACTIVE,餐饮美食,中餐,杭帮菜
1013462,胶东人家,无,胶东人家,ACTIVE,餐饮美食,中餐,鲁京菜
1013463,荔茵,无,荔茵,ACTIVE,餐饮美食,简餐,中式快餐
1013465,乔府-小乔豆腐,无,乔府-小乔豆腐,ACTIVE,餐饮美食,简餐,中式快餐
1013466,久留米,无,久留米,ACTIVE,餐饮美食,异国餐饮,日式料理
1013467,天府老妈,无,天府老妈,ACTIVE,餐饮美食,中餐,川菜
1013468,巴蜀红门哇哇叫,无,巴蜀红门哇哇叫,ACTIVE,餐饮美食,中餐,川菜
1013469,微山湖鱼馆,无,微山湖鱼馆,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1013470,九龙塘,无,九龙塘,ACTIVE,餐饮美食,中餐,鲁京菜
1013471,詹师傅,无,詹师傅,ACTIVE,餐饮美食,中餐,川菜
1013472,倾城,无,倾城,ACTIVE,餐饮美食,简餐,茶餐厅
1013473,宽巷子,无,宽巷子,ACTIVE,餐饮美食,中餐,素食餐厅
1013474,老边,无,老边,ACTIVE,餐饮美食,简餐,水饺
1013475,马家烧卖,无,马家烧卖,ACTIVE,餐饮美食,简餐,中式快餐
1013476,藏巴部落,无,藏巴部落,ACTIVE,餐饮美食,中餐,西藏菜
1013477,金马碧记,无,金马碧记,ACTIVE,餐饮美食,中餐,杭帮菜
1013478,晨曦炖品,无,晨曦炖品,ACTIVE,餐饮美食,锅类,煲类
1013479,达道牛肉,无,达道牛肉,ACTIVE,餐饮美食,简餐,中式快餐
1013480,永和鱼丸,无,永和鱼丸,ACTIVE,餐饮美食,简餐,中式快餐
1013481,老福洲,无,老福洲,ACTIVE,餐饮美食,简餐,特色小吃
1013482,好成财,无,好成财,ACTIVE,餐饮美食,简餐,中式快餐
1013483,甬正,无,甬正,ACTIVE,餐饮美食,简餐,米线/米粉
1013484,佰味成都,无,佰味成都,ACTIVE,餐饮美食,简餐,特色小吃
1013485,阿月煲,无,阿月煲,ACTIVE,餐饮美食,中餐,时尚融合菜
1013486,掰哥,无,掰哥,ACTIVE,餐饮美食,简餐,中式面
1013487,佬麻抄手,无,佬麻抄手,ACTIVE,餐饮美食,简餐,中式面
1013488,福鑫记,无,福鑫记,ACTIVE,餐饮美食,中餐,闽客家菜
1013489,酩悦炭烧,无,酩悦炭烧,ACTIVE,餐饮美食,锅类,清汤火锅
1013490,巴蜀大宅门,无,巴蜀大宅门,ACTIVE,餐饮美食,锅类,川渝火锅
1013491,极品鱼头,无,极品鱼头,ACTIVE,餐饮美食,锅类,鱼火锅
1013492,首品,无,首品,ACTIVE,餐饮美食,锅类,清汤火锅
1013493,虾佬圣汤,无,虾佬圣汤,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1013494,重庆两路口,无,重庆两路口,ACTIVE,餐饮美食,锅类,川渝火锅
1013495,麻辣空间,无,麻辣空间,ACTIVE,餐饮美食,锅类,川渝火锅
1013496,丽雅食典,无,丽雅食典,ACTIVE,餐饮美食,锅类,清汤火锅
1013497,荷鲜菇,无,荷鲜菇,ACTIVE,餐饮美食,锅类,清汤火锅
1013498,齐海鱼圣,无,齐海鱼圣,ACTIVE,餐饮美食,锅类,鱼火锅
1013499,顺风肥牛,无,顺风肥牛,ACTIVE,餐饮美食,锅类,小涮锅
1013500,仙龙潭汤锅,无,仙龙潭汤锅,ACTIVE,餐饮美食,锅类,汤锅
1013203,合肥汇宾楼,无,合肥汇宾楼,ACTIVE,大型餐饮,大酒楼,大酒楼
1013685,名家时间,designer times,名家时间,ACTIVE,生活精品,钟表,钟表
1013745,喵喵咪呀,无,喵喵咪呀,ACTIVE,生活精品,杂品配饰,配饰
1013845,泡巢,无,泡巢,ACTIVE,餐饮美食,饮品烘焙,面包蛋糕
1014018,MARC BY MARC JACOBS,MARC BY MARC JACOBS,MARC BY MARC JACOBS,ACTIVE,服装服饰,女装,少淑女
1014019,kang jin young,kang jin young,kang jin young,ACTIVE,服装服饰,女装,少淑女
1014020,JUST MODE,JUST MODE,JUST MODE,ACTIVE,服装服饰,女装,少淑女
1014021,iLCin Satin,iLCin Satin,iLCin Satin,ACTIVE,服装服饰,女装,少淑女
1014022,hunt,hunt,hunt,ACTIVE,服装服饰,男装,潮流
1014023,Hollister Co.,Hollister Co.,Hollister Co.,ACTIVE,服装服饰,男女集合,国内休闲
1014024,HOLL WILL,HOLL WILL,HOLL WILL,ACTIVE,服装服饰,男女集合,国内休闲
1014025,GIVH SHYH,GIVH SHYH,GIVH SHYH,ACTIVE,服装服饰,女装,少淑女
1014026,Giordano Ladies,Giordano Ladies,Giordano Ladies,ACTIVE,服装服饰,女装,少淑女
1014027,Eric Bompard,Eric Bompard,Eric Bompard,ACTIVE,服装服饰,女装,淑女
1014028,CERRUTI 1881,CERRUTI 1881,CERRUTI 1881,ACTIVE,服装服饰,男装,时尚
1014046,RED EARTH,RED EARTH,RED EARTH,ACTIVE,生活精品,个人护理,化妆品
1014048,Millennium star,Millennium Star,Millennium star,ACTIVE,生活精品,黄金珠宝,钻石
1014049,MAXFACTOR,MAX FACTOR,MAXFACTOR,ACTIVE,生活精品,个人护理,化妆品
1014050,莱卡,LEICA,莱卡,ACTIVE,生活精品,数码电子,数码单品
1014051,LAMY,LAMY,LAMY,ACTIVE,生活精品,杂品配饰,文具
1014052,LA CASA DEL HABANO,LA CASA DEL HABANO,LA CASA DEL HABANO,ACTIVE,生活精品,烟酒食品,烟酒茶
1014053,LA COLLINE,LA COLLINE,LA COLLINE,ACTIVE,生活精品,个人护理,化妆品
1014054,KOSTABODA,KOSTA BODA,KOSTABODA,ACTIVE,生活精品,杂品配饰,杂品集合
1014055,茵佳妮,incolour,茵佳妮,ACTIVE,服装服饰,女装,少淑女
1014056,JOSO HOUSE,JOSO HOUSE,JOSO HOUSE,ACTIVE,生活精品,家居家用,家居家饰
1014057,Janehome,Janehome,Janehome,ACTIVE,生活精品,家居家用,家居家饰
1013413,太子,无,太子,ACTIVE,餐饮美食,简餐,茶餐厅
1013414,金百汇,无,金百汇,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1013415,水上渔港,无,水上渔港,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1013416,荷塘悦,无,荷塘悦,ACTIVE,餐饮美食,中餐,时尚融合菜
1013417,膳庄,无,膳庄,ACTIVE,餐饮美食,中餐,徽菜
1013419,竹林人家,无,竹林人家,ACTIVE,餐饮美食,中餐,时尚融合菜
1013420,宁海食府,无,宁海食府,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1013421,芭菲盛宴,无,芭菲盛宴,ACTIVE,餐饮美食,自助餐,海鲜自助
1013422,辣婆婆,无,辣婆婆,ACTIVE,餐饮美食,中餐,川菜
1013423,老屋川菜,无,老屋川菜,ACTIVE,餐饮美食,中餐,川菜
1013232,HOPERISE,HOPERISE,HOPERISE,ACTIVE,服装服饰,男装,潮流
1013234,LEE,LEE,LEE,ACTIVE,生活精品,时尚潮流,潮流集合
1013235,LOVE&LOVE,Love &Love,LOVE&LOVE,ACTIVE,生活精品,黄金珠宝,钻石
1013243,巫山烤鱼,无,巫山烤鱼,ACTIVE,餐饮美食,烧烤,烤鱼
1013244,方位运动城,无,方位运动城,ACTIVE,大型零售,运动集合,运动集合
1013245,本色健身,无,本色健身,ACTIVE,主题体验,休闲娱乐,健身会所
1013247,爱转角水吧,无,爱转角水吧,ACTIVE,餐饮美食,饮品烘焙,果汁
1013288,哈尼泡芙,honey puff,哈尼泡芙,ACTIVE,餐饮美食,饮品烘焙,甜品
1013383,满堂红食府,无,满堂红食府,ACTIVE,大型餐饮,大酒楼,大酒楼
1013384,富临名家,无,富临名家,ACTIVE,大型餐饮,大酒楼,大酒楼
1013385,楠溪第一楼,无,楠溪第一楼,ACTIVE,大型餐饮,大酒楼,大酒楼
1013386,FRED,FRED,FRED,ACTIVE,生活精品,黄金珠宝,其他珠宝
1013387,亨得利,Hope Borther&Co,亨得利,ACTIVE,生活精品,钟表,钟表
1013388,THANN,THANN,THANN,ACTIVE,生活精品,个人护理,香薰
1013389,GEOX,GEOX,GEOX,ACTIVE,生活精品,鞋品箱包,鞋品
1013391,倍思家,Basis Home,倍思家,ACTIVE,生活精品,家居家用,家居家饰
1013392,金王家居,KING KING,金王家居,ACTIVE,生活精品,家居家用,家居家饰
1013393,魔法家,无,魔法家,ACTIVE,生活精品,家居家用,家居家饰
1013394,乐巢家居,lovhome,乐巢家居,ACTIVE,生活精品,家居家用,家居家饰
1013395,集物特,GIFTOUR,集物特,ACTIVE,生活精品,杂品配饰,杂品集合
1013397,万仟堂,ENDNUS,万仟堂,ACTIVE,生活精品,家居家用,家居家饰
1013398,CARRERA,CARRERA,CARRERA,ACTIVE,儿童业态,儿童零售,文教玩具
1013399,乐翻天,lefantian toys,乐翻天,ACTIVE,儿童业态,儿童零售,文教玩具
1013400,方所书店,无,方所书店,ACTIVE,体验业态,文化娱乐,书吧网吧
1013401,潮代,无,潮代,ACTIVE,餐饮美食,中餐,粤菜（海南菜）
1013402,茉莉,无,茉莉,ACTIVE,餐饮美食,中餐,时尚融合菜
1013403,狠牛,无,狠牛,ACTIVE,餐饮美食,锅类,清汤火锅
1013405,得味轩,无,得味轩,ACTIVE,餐饮美食,中餐,杭帮菜
1013406,意粉屋,无,意粉屋,ACTIVE,餐饮美食,异国餐饮,意餐
1013407,范思哲,无,范思哲,ACTIVE,餐饮美食,饮品烘焙,咖啡店
1013409,永福,无,永福,ACTIVE,生活精品,烟酒食品,零食
1013411,都来福,无,都来福,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1013412,表叔,无,表叔,ACTIVE,餐饮美食,简餐,茶餐厅
1013382,天下春空中花园酒店,无,天下春空中花园酒店,ACTIVE,大型餐饮,大酒楼,大酒楼
1013166,Links of london,Links of London,Links of london,ACTIVE,生活精品,杂品配饰,配饰
1013173,A ma,A ma,A ma,ACTIVE,生活精品,杂品配饰,配饰
1013179,aladdin lamp,Aladdin Lamp,aladdin lamp,ACTIVE,儿童业态,儿童服务,儿童配套服务
1019654,LLAOLLAO,LLAOLLAO,LLAOLLAO,ACTIVE,餐饮美食,饮品烘焙,冰淇淋
1014059,happy house,happy house,happy house,ACTIVE,生活精品,家居家用,家居家饰
1013366,南海渔村,无,南海渔村,ACTIVE,大型餐饮,大酒楼,大酒楼
1013367,彩虹舫,无,彩虹舫,ACTIVE,大型餐饮,大酒楼,大酒楼
1013368,荷意湘味浓,无,荷意湘味浓,ACTIVE,大型餐饮,大酒楼,大酒楼
1013369,绵阳天天渔港,无,绵阳天天渔港,ACTIVE,大型餐饮,大酒楼,大酒楼
1013370,老船夫,无,老船夫,ACTIVE,大型餐饮,大酒楼,大酒楼
1013371,俊龙,无,俊龙,ACTIVE,大型餐饮,大酒楼,大酒楼
1013373,得尔乐,无,得尔乐,ACTIVE,大型餐饮,大酒楼,大酒楼
1013374,海中天香港美食城,无,海中天香港美食城,ACTIVE,大型餐饮,美食广场,美食广场
1013377,爱晚亭,无,爱晚亭,ACTIVE,大型餐饮,大酒楼,大酒楼
1013378,富春茶舍,无,富春茶舍,ACTIVE,大型餐饮,大酒楼,大酒楼
1013379,粤鸿和,无,粤鸿和,ACTIVE,大型餐饮,大酒楼,大酒楼
1013380,CHINA公社,无,CHINA公社,ACTIVE,大型餐饮,大酒楼,大酒楼
1013381,0791新概念餐厅,无,0791新概念餐厅,ACTIVE,大型餐饮,主题餐厅,主题餐厅
1013001,胜道,YYSPORTS,胜道,ACTIVE,大型零售,运动集合,运动集合
1013004,乐高,LEGO PARK,乐高,ACTIVE,儿童业态,儿童娱乐,儿童乐园
1013006,舒适堡,PHYSICAL,舒适堡,ACTIVE,主题体验,休闲娱乐,健身会所
1013008,美格菲,MEGAFIT,美格菲,ACTIVE,主题体验,休闲娱乐,健身会所
1013010,新东方,Elite English Education,新东方,ACTIVE,教育培训,教育培训,教育培训
1013011,BLT,BLT,BLT,ACTIVE,大型零售,超市,精品超市
1013016,莲花生鲜精品超市,无,莲花生鲜精品超市,ACTIVE,大型零售,超市,精品超市
1013019,TNGT,TNGT,TNGT,ACTIVE,服装服饰,男女集合,国内休闲
1013024,PONY,PONY,PONY,ACTIVE,生活精品,鞋品箱包,鞋品
1013025,阿森纳,Arsenal,阿森纳,ACTIVE,生活精品,运动,时尚运动
1013026,OAKELY,OAKELY,OAKELY,ACTIVE,生活精品,运动,户外运动
1013028,OZALK,OZALK,OZALK,ACTIVE,生活精品,运动,户外运动
1013029,泰和,无,泰和,ACTIVE,餐饮美食,中餐,粤菜（海南菜）
1013030,味皇,无,味皇,ACTIVE,餐饮美食,简餐,茶餐厅
1013031,金牌小龙,无,金牌小龙,ACTIVE,餐饮美食,简餐,生煎
1013032,莫尔顿,无,莫尔顿,ACTIVE,餐饮美食,异国餐饮,法餐
1013033,王品,无,王品,ACTIVE,餐饮美食,异国餐饮,法餐
1013034,板长寿司,无,板长寿司,ACTIVE,餐饮美食,异国餐饮,日式料理
1013036,鲜芋仙,无,鲜芋仙,ACTIVE,餐饮美食,饮品烘焙,甜品
1013037,屋企汤馆,无,屋企汤馆,ACTIVE,餐饮美食,中餐,粤菜（海南菜）
1013038,宝燕海鲜,无,宝燕海鲜,ACTIVE,餐饮美食,中餐,海鲜（河鲜）
1013041,稻香集团,无,稻香集团,ACTIVE,大型餐饮,大酒楼,大酒楼
1013042,美心集团,无,美心集团,ACTIVE,大型餐饮,大酒楼,大酒楼
1013043,唐宫集团,无,唐宫集团,ACTIVE,大型餐饮,大酒楼,大酒楼
1013044,潮州城,无,潮州城,ACTIVE,大型餐饮,大酒楼,大酒楼
1013045,盛臣大富豪,无,盛臣大富豪,ACTIVE,大型餐饮,大酒楼,大酒楼
1013046,上海人家（南京）,无,上海人家（南京）,ACTIVE,大型餐饮,大酒楼,大酒楼
1013047,佳景集团,无,佳景集团,ACTIVE,大型餐饮,大酒楼,大酒楼
1013048,中森名菜,无,中森名菜,ACTIVE,餐饮美食,异国餐饮,日式料理
1013051,顺峰酒楼,无,顺峰酒楼,ACTIVE,大型餐饮,大酒楼,大酒楼
1013052,炳胜潮州酒楼,无,炳胜潮州酒楼,ACTIVE,大型餐饮,大酒楼,大酒楼
1013053,六合宴,无,六合宴,ACTIVE,大型餐饮,大酒楼,大酒楼
1013055,潮江春,无,潮江春,ACTIVE,大型餐饮,大酒楼,大酒楼
1013056,张生记,无,张生记,ACTIVE,大型餐饮,大酒楼,大酒楼
1013057,潮福楼,无,潮福楼,ACTIVE,大型餐饮,大酒楼,大酒楼
1013058,广州酒家,无,广州酒家,ACTIVE,大型餐饮,大酒楼,大酒楼
1013059,广州名豪,无,广州名豪,ACTIVE,大型餐饮,大酒楼,大酒楼
1013060,兰桂坊,无,兰桂坊,ACTIVE,大型餐饮,大酒楼,大酒楼
1013061,大连渔港,无,大连渔港,ACTIVE,大型餐饮,大酒楼,大酒楼
1013062,zaccafreeq,zaccafreeq,zaccafreeq,ACTIVE,生活精品,杂品配饰,杂品集合
1013063,Creativehome,Creativehome,Creativehome,ACTIVE,生活精品,家居家用,家居家饰
1013064,MEHOM,MEHOM,MEHOM,ACTIVE,生活精品,家居家用,家居家饰
1013066,GYMBABY,GYMBABY,GYMBABY,ACTIVE,儿童业态,儿童教育,儿童早教
1013067,领秀国际,LOVE SHOW,领秀国际,ACTIVE,儿童业态,儿童教育,儿童培训
1013073,ZANNIF'ER,ZANNIF'ER,ZANNIF'ER,ACTIVE,服装服饰,女装,淑女
1013075,chaber,chaber,chaber,ACTIVE,服装服饰,女装,少淑女
1013076,EMELY,EMELY,EMELY,ACTIVE,服装服饰,女装,少淑女
1013077,BRJ,BRJ,BRJ,ACTIVE,服装服饰,女装,少淑女
1013078,K.S.BERE,K.S.BERE,K.S.BERE,ACTIVE,服装服饰,女装,少淑女
1013079,O’2nd,O’2nd,O’2nd,ACTIVE,服装服饰,女装,少淑女
1013083,艾维尔,AIVER,艾维尔,ACTIVE,服装服饰,女装,少淑女
1013241,台北味道,无,台北味道,ACTIVE,餐饮美食,中餐,台湾菜
1013088,丰泽电器,Fortress World,丰泽电器,ACTIVE,大型零售,家电,家电
1013089,顺电,SUNDAN,顺电,ACTIVE,大型零售,家电,家电
1013096,Ole,Ole,Ole,ACTIVE,大型零售,超市,精品超市
1013097,Taste,Taste,Taste,ACTIVE,大型零售,超市,精品超市
1013099,莲花超市,LOTUS,莲花超市,ACTIVE,大型零售,超市,平价超市
1013103,Moncler,Moncler,Moncler,ACTIVE,服装服饰,男女集合,国内休闲
1013091,百佳,PARK N SHOP,百佳,ACTIVE,大型零售,超市,平价超市
1013104,initial,initial,initial,ACTIVE,服装服饰,男女集合,国内休闲
1013224,JORYA WEEKEND,JORYA WEEKEND,JORYA WEEKEND,ACTIVE,服装服饰,女装,少淑女
1013228,zara home,zara home,zara home,ACTIVE,生活精品,家居家用,家居家饰
1013230,可织美甲,无,可织美甲,ACTIVE,体验业态,专业美护,美睫美甲
1013233,JOAN&DAVID,JOAN&DAVID,JOAN&DAVID,ACTIVE,服装服饰,女装,淑女
1012133,咱家东北菜,无,咱家东北菜,ACTIVE,餐饮美食,中餐,东北菜
1012135,土家吊锅饭,无,土家吊锅饭,ACTIVE,餐饮美食,中餐,时尚融合菜
1012137,澜泊湾,无,澜泊湾,ACTIVE,餐饮美食,饮品烘焙,果汁
1012157,SAMSUNG,SAMSUNG,SAMSUNG,ACTIVE,生活精品,数码电子,数码单品
1012158,URBAN,URBAN,URBAN,ACTIVE,服装服饰,男女集合,国内休闲
1012163,前味回转,无,前味回转,ACTIVE,餐饮美食,锅类,川渝火锅
1012167,驰语,无,驰语,ACTIVE,服装服饰,男装,潮流
1012169,kids land,Kids Land,kids land,ACTIVE,儿童业态,儿童零售,文教玩具
1012170,帕尼尼意式休闲餐厅,无,帕尼尼意式休闲餐厅,ACTIVE,餐饮美食,异国餐饮,西式简餐
1012171,电玩巴士,TGBUS,电玩巴士,ACTIVE,儿童业态,儿童零售,文教玩具
1012327,明星厨坊,无,明星厨坊,ACTIVE,餐饮美食,中餐,鄂赣菜
1012410,0.02,2%,2%,ACTIVE,服装服饰,男女集合,国内休闲
1012411,家里物美,Homej-Max,家里物美,ACTIVE,生活精品,家居家用,家居家饰
1012545,氧气工坊,无,氧气工坊,ACTIVE,餐饮美食,饮品烘焙,果汁
1012547,醉角落,无,醉角落,ACTIVE,餐饮美食,中餐,时尚融合菜
1012625,音乐厨房,无,音乐厨房,ACTIVE,餐饮美食,中餐,时尚融合菜
1012686,豪客来,无,豪客来,ACTIVE,餐饮美食,异国餐饮,西式简餐
1013266,福禄贝尔,FROBEL WEEDING PHOTO PLAZA,福禄贝尔,ACTIVE,体验业态,生活服务,摄影冲印
1012201,黑田,无,黑田,ACTIVE,生活精品,杂品配饰,杂品集合
1012202,瑞红,无,瑞红,ACTIVE,生活精品,黄金珠宝,其他珠宝
1012204,TAYA,无,TAYA,ACTIVE,体验业态,专业美护,美容美发
1012205,Edutainment,无,Edutainment,ACTIVE,儿童业态,儿童零售,文教玩具
1012206,AiDong,无,AiDong,ACTIVE,儿童业态,儿童娱乐,儿童乐园
1012207,book one,book one,book one,ACTIVE,生活精品,杂品配饰,文具
1012208,瑞和铁板烧,无,瑞和铁板烧,ACTIVE,餐饮美食,烧烤,铁板烧
1012935,KIEHL'S,KIEHL'S,KIEHL'S,ACTIVE,生活精品,个人护理,化妆品
1012937,L'OCCITANE,L'OCCITANE,L'OCCITANE,ACTIVE,生活精品,个人护理,化妆品
1012939,MAC,MAC,MAC,ACTIVE,生活精品,个人护理,化妆品
1012940,ALEXANDRE,ALEXANDRE,ALEXANDRE,ACTIVE,生活精品,杂品配饰,配饰
1012942,Tous,Tous,Tous,ACTIVE,生活精品,杂品配饰,配饰
1012943,LONGCHAMP,LONGCHAMP,LONGCHAMP,ACTIVE,生活精品,鞋品箱包,箱包
1012944,Lancel,Lancel,Lancel,ACTIVE,生活精品,鞋品箱包,箱包
1012945,FURLA,FURLA,FURLA,ACTIVE,生活精品,鞋品箱包,箱包
1012947,POTATO&CO,POTATO&Co,POTATO&CO,ACTIVE,生活精品,家居家用,家居家饰
1012948,mansart,mansart,mansart,ACTIVE,生活精品,家居家用,家居家饰
1012949,MRKT,MRKT,MRKT,ACTIVE,生活精品,鞋品箱包,箱包
1012950,KIREI,KIREI,KIREI,ACTIVE,生活精品,家居家用,家居家饰
1012952,VERRI,VERRI,VERRI,ACTIVE,服装服饰,男装,时尚
