lease_bs_brand_jqxx.brandid,lease_bs_brand_jqxx.brandname,lease_bs_brand_jqxx.brandnameen,lease_bs_brand_jqxx.brandnamech,lease_bs_brand_jqxx.recordstatus,lease_bs_brand_jqxx.formatname,lease_bs_brand_jqxx.mainformatname,lease_bs_brand_jqxx.detailformatname
1029325,大嘴零食乐园,无,大嘴零食乐园,ACTIVE,生活精品,烟酒食品,零食
1029123,腾光电讯,无,腾光电讯,ACTIVE,生活精品,数码电子,数码集合
1029140,欧诗曼,无,欧诗曼,ACTIVE,服装服饰,男女集合,国内休闲
1029129,柏丽茗,BOLIMING,柏丽茗,ACTIVE,服装服饰,女装,少淑女
1029078,OPPO+Vivo,OPPO+Vivo,OPPO+Vivo,ACTIVE,生活精品,数码电子,数码单品
1029094,Polosport（皮具）,Polosport（皮具）,Polosport（皮具）,ACTIVE,生活精品,鞋品箱包,箱包
1029818,冰摩,BINGMO,冰摩,ACTIVE,餐饮美食,饮品烘焙,果汁
1029819,家庆坊,jiaqingfang,家庆坊,ACTIVE,餐饮美食,中餐,川菜
1029820,顽石小镇,空,顽石小镇,ACTIVE,生活精品,杂品配饰,杂品集合
1028628,智慧星,无,智慧星,ACTIVE,儿童业态,儿童娱乐,儿童乐园
1028752,兄弟联盟街舞,无,兄弟联盟街舞,ACTIVE,儿童业态,儿童教育,儿童培训
1028693,Cover,Cover,Cover,ACTIVE,生活精品,鞋品箱包,鞋品
1028972,伯特利自由马创意美学馆,无,伯特利自由马创意美学馆,ACTIVE,儿童业态,儿童教育,儿童培训
1028971,七色,无,七色,ACTIVE,生活精品,杂品配饰,杂品集合
1028851,北京梦丝丝,无,北京梦丝丝,ACTIVE,生活精品,烟酒食品,滋补保健
1028970,速比坤,Speed Queen,速比坤,ACTIVE,体验业态,生活服务,洗衣/皮具护理
1029759,多拉拉童装,无,多拉拉童装,ACTIVE,儿童业态,儿童零售,儿童服饰
1029717,网红花甲,无,网红花甲,ACTIVE,餐饮美食,简餐,特色小吃
1029715,意芙钻石,无,意芙钻石,ACTIVE,生活精品,黄金珠宝,钻石
1029716,第七感觉,SEUEN FEELING,第七感觉,ACTIVE,服装服饰,男女集合,国内休闲
1029766,衣门雅集,无,衣门雅集,ACTIVE,服装服饰,女装,少淑女
1029086,房车体验馆,fangche,房车体验馆,ACTIVE,体验业态,文化娱乐,文娱培训
1030531,金太郎烤肉火锅,无,金太郎烤肉火锅,ACTIVE,餐饮美食,自助餐,烤涮自助
1030546,Mark Faiewhale(M),Mark Faiewhale(M),Mark Faiewhale(M),ACTIVE,服装服饰,男装,潮流
1030525,回转寿司,无,回转寿司,ACTIVE,餐饮美食,异国餐饮,日式简餐
1030524,千喜城网咖,无,千喜城网咖,ACTIVE,体验业态,文化娱乐,书吧网吧
1030974,NAVY MONKEY,NAVY MONKEY,NAVY MONKEY,ACTIVE,服装服饰,女装,少淑女
1031005,儿童赛艇,racing boat,儿童赛艇,ACTIVE,儿童业态,儿童娱乐,儿童乐园
